"subscriptionId";"mgPath";"type";"id";"name";"location";"tags";"createdTime";"changedTime"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/disks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.compute/disks/vmtobuild_osdisk_1_0ae41a77b31345a5b285789f7825c37d";"vmtobuild_osdisk_1_0ae41a77b31345a5b285789f7825c37d";"australiaeast";"@{Name=VMtoBuild; Env=PRD}";"10/18/2021 1:11:49 PM";"10/18/2021 1:21:56 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/disks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.compute/disks/vmtobuildvm_osdisk_1_b297450ad99c4ae9b8f366765222dfd8";"vmtobuildvm_osdisk_1_b297450ad99c4ae9b8f366765222dfd8";"japaneast";"@{Name=VMtoBuilVM; Env=PRD}";"10/18/2021 1:57:22 PM";"10/18/2021 2:07:25 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/disks";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.compute/disks/windowvmytb_osdisk_1_9cacecd329df4af6bcab440b3c3f5f32";"windowvmytb_osdisk_1_9cacecd329df4af6bcab440b3c3f5f32";"southeastasia";"@{Name=WindowVM}";"10/15/2021 4:18:43 AM";"10/15/2021 4:28:45 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/virtualmachines";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.compute/virtualmachines/testvm";"testvm";"koreasouth";"@{Name=testVM}";"10/16/2021 9:28:15 AM";"10/16/2021 9:39:54 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/virtualmachines";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.compute/virtualmachines/vmtobuildvm";"vmtobuildvm";"japaneast";"@{Name=VMtoBuilVM; Env=PRD}";"10/18/2021 1:57:19 PM";"10/18/2021 2:09:21 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.compute/virtualmachines";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.compute/virtualmachines/windowvmytb";"windowvmytb";"southeastasia";"@{Name=WindowVM}";"10/15/2021 4:18:41 AM";"10/15/2021 4:31:02 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networkinterfaces/harryvm451";"harryvm451";"koreacentral";"@{Name=harryVM; Env=DEV}";"10/18/2021 4:39:39 AM";"10/18/2021 4:49:43 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networkinterfaces/testvm801";"testvm801";"koreasouth";"@{Name=testVM}";"10/16/2021 9:28:09 AM";"10/16/2021 9:38:12 AM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networkinterfaces/vmtobuild47";"vmtobuild47";"australiaeast";"@{Name=VMtoBuild; Env=PRD}";"10/18/2021 1:11:41 PM";"10/18/2021 1:21:47 PM"
"61a42b96-1667-46bd-9973-eeb34ac483c2";"8851bbca-5a7e-49dc-837b-993ec8f56f3c/MgID01/61a42b96-1667-46bd-9973-eeb34ac483c2";"microsoft.network/networkinterfaces";"/subscriptions/61a42b96-1667-46bd-9973-eeb34ac483c2/resourcegroups/ytb/providers/microsoft.network/networkinterfaces/vmtobuildvm144";"vmtobuildvm144";"japaneast";"@{Name=VMtoBuilVM; Env=PRD}";"10/18/2021 1:57:16 PM";"10/18/2021 2:07:17 PM"
